transaction_id,transaction_time,transaction_date,customer_key,account_key,transaction_key,amount,account_balance
WEQJXR,01/01/2024 22:58,01/01/2024,1888,1802,15,16.42,4271.14
IL2LIA,01/01/2024 22:54,01/01/2024,1639,1465,21,27.42,62049.28
OFC9LG,01/01/2024 22:53,01/01/2024,1841,1734,11,49.31,49.31
4QVZC5,01/01/2024 22:52,01/01/2024,1941,38,11,117.09,4410.88
AUEV4Z,01/01/2024 22:49,01/01/2024,1784,281,15,25.19,12635.79
RYMICN,01/01/2024 22:46,01/01/2024,1566,1820,19,6.68,6.68
53B6OJ,01/01/2024 22:41,01/01/2024,1988,1806,23,5.05,305.57
35U3LH,01/01/2024 22:41,01/01/2024,951,642,15,7.47,4404.72
YB4Q3F,01/01/2024 22:38,01/01/2024,1883,939,20,9.53,4101.05
Y97DT6,01/01/2024 22:36,01/01/2024,114,447,20,19.99,3504.95
7MSX54,01/01/2024 22:35,01/01/2024,149,347,10,9.32,3775.03
MI1U4Y,01/01/2024 22:33,01/01/2024,1425,1866,17,24.37,4587.76
CGCMI9,01/01/2024 22:32,01/01/2024,107,1874,10,7.76,2196.36
KDQXM4,01/01/2024 22:29,01/01/2024,560,784,22,8.86,4333.87
UH6DSX,01/01/2024 22:29,01/01/2024,1575,1588,21,31.49,95669.02
71BVWY,01/01/2024 22:29,01/01/2024,205,280,15,34.45,1759.7
675FX6,01/01/2024 22:28,01/01/2024,401,2242,19,15.87,29.25
8ADLKG,01/01/2024 22:28,01/01/2024,734,294,19,2.23,2.23
T6MDVB,01/01/2024 22:23,01/01/2024,1834,752,19,19.46,68797
WKBL97,01/01/2024 22:21,01/01/2024,12,2205,17,110.97,110.97
KL52GM,01/01/2024 22:21,01/01/2024,1246,1428,19,21.35,1740.51
BL3DYH,01/01/2024 22:15,01/01/2024,488,851,21,19.98,4043.42
QXHIJH,01/01/2024 22:14,01/01/2024,1569,1846,11,24.38,24.38
NU8IHM,01/01/2024 22:14,01/01/2024,711,1277,18,25.25,1839.01
MKCEJH,01/01/2024 22:13,01/01/2024,1226,1032,19,10.36,568.63
FYGS49,01/01/2024 22:10,01/01/2024,278,2305,16,29.53,2518.08
XZYZFX,01/01/2024 22:09,01/01/2024,1435,1466,19,7.17,7.17
FZGCBJ,01/01/2024 22:08,01/01/2024,1415,254,19,40.18,4566.71
T8XDVE,01/01/2024 22:05,01/01/2024,748,2383,11,8.4,2449.98
2G6MA7,01/01/2024 21:58,01/01/2024,590,2312,22,25.74,2588
76J360,01/01/2024 21:58,01/01/2024,1310,1229,19,13.79,13.79
ZOCZ4I,01/01/2024 21:54,01/01/2024,93,1156,22,61.72,725.33
XAMKJ3,01/01/2024 21:48,01/01/2024,1061,1607,22,72.58,4845.21
ZTVK7N,01/01/2024 21:47,01/01/2024,251,895,19,26.07,3726.52
EPIU8H,01/01/2024 21:46,01/01/2024,1082,2062,23,26.99,3566.6
KUCF5L,01/01/2024 21:45,01/01/2024,146,1504,17,1.52,1.52
IS5XNL,01/01/2024 21:45,01/01/2024,305,95,16,8.88,23.61
79PKCW,01/01/2024 21:43,01/01/2024,95,1158,23,4.08,383.34
AK99VG,01/01/2024 21:42,01/01/2024,445,750,10,22.38,2340.98
GEVW6O,01/01/2024 21:36,01/01/2024,1681,74,12,10.68,4233.07
VWJUAX,01/01/2024 21:31,01/01/2024,178,830,22,7.22,2769.79
9X8NQW,01/01/2024 21:31,01/01/2024,189,1613,20,56.66,2675.11
EKO7YS,01/01/2024 21:30,01/01/2024,1455,698,17,3.63,3.63
Z60WYY,01/01/2024 21:27,01/01/2024,603,1930,15,16.69,2147.27
3JSRZM,01/01/2024 21:27,01/01/2024,743,647,23,5.3,47.44
M2W8RU,01/01/2024 21:26,01/01/2024,872,862,12,1.61,240.44
P36AZF,01/01/2024 21:22,01/01/2024,994,2306,15,82.91,1904.02
JSVVFC,01/01/2024 21:21,01/01/2024,1003,5,22,4.59,1151.72
5F3CH2,01/01/2024 21:20,01/01/2024,161,725,12,19.73,3615.68
0IC22T,01/01/2024 21:18,01/01/2024,1685,1011,22,16.36,3805.66
14UA1A,01/01/2024 21:13,01/01/2024,847,1511,12,10.97,1654.37
LRA1A3,01/01/2024 21:07,01/01/2024,1729,1299,15,27.16,27.16
SX9HE6,01/01/2024 21:02,01/01/2024,1524,881,15,92.24,3831.87
OL2Q8R,01/01/2024 20:54,01/01/2024,1943,1458,19,5.24,3413.79
L83JP0,01/01/2024 20:51,01/01/2024,544,304,18,56.75,4432.36
4SX4DF,01/01/2024 20:42,01/01/2024,996,882,14,161.33,2280.01
OGA4C4,01/01/2024 20:42,01/01/2024,1040,1891,17,46.05,470.03
1QVNRW,01/01/2024 20:39,01/01/2024,216,643,17,82.03,832.45
PZS0WB,01/01/2024 20:37,01/01/2024,1428,1996,18,13.56,479.73
1LTJC0,01/01/2024 20:28,01/01/2024,1224,1357,10,11.78,4091.96
Z91LS6,01/01/2024 20:27,01/01/2024,67,1982,23,59.1,4933.17
2WHJL8,01/01/2024 20:27,01/01/2024,1989,2153,23,83.72,3251.94
2VNBBI,01/01/2024 20:24,01/01/2024,652,251,11,5.52,5.52
2I6OC3,01/01/2024 20:24,01/01/2024,1122,21,22,2.51,497.97
W8EG4I,01/01/2024 20:23,01/01/2024,1075,1109,10,6.72,951.84
085NDV,01/01/2024 20:23,01/01/2024,1594,835,19,10.81,3665.47
DE82D4,01/01/2024 20:20,01/01/2024,974,1542,10,103.2,4160.01
70FND0,01/01/2024 20:12,01/01/2024,240,388,23,1.93,2584.16
S87NFC,01/01/2024 20:05,01/01/2024,476,662,14,4.34,3609.55
UKMCF1,01/01/2024 20:03,01/01/2024,1338,721,18,35.71,558.35
1AI3OQ,01/01/2024 20:02,01/01/2024,1438,287,20,27.57,3266.3
D4O4SN,01/01/2024 19:58,01/01/2024,586,1111,17,30.92,30.92
30NKY9,01/01/2024 19:57,01/01/2024,1734,1285,18,112.41,1127.18
0RNQSG,01/01/2024 19:54,01/01/2024,1664,1142,19,29.4,29.4
OYS1L0,01/01/2024 19:49,01/01/2024,1965,1352,17,44.34,145.66
7H25BS,01/01/2024 19:48,01/01/2024,510,1978,17,24.56,4845.52
HADCBU,01/01/2024 19:44,01/01/2024,230,2145,14,10.07,366.15
9EMX6Y,01/01/2024 19:42,01/01/2024,1924,1180,15,13.93,21.77
REJO02,01/01/2024 19:38,01/01/2024,788,2103,11,10.97,4040.8
S0MXVL,01/01/2024 19:37,01/01/2024,178,830,23,42.52,2777.01
DOQ95N,01/01/2024 19:32,01/01/2024,1374,1699,17,9.48,4750.78
RHQS9D,01/01/2024 19:29,01/01/2024,1897,717,17,19.94,3576.95
VCL0FC,01/01/2024 19:26,01/01/2024,227,288,22,5.07,4644.34
HGUAAL,01/01/2024 19:26,01/01/2024,210,180,10,22.75,3899.13
7FYSKU,01/01/2024 19:25,01/01/2024,1006,1994,17,6.2,4250.61
0UJRSD,01/01/2024 19:18,01/01/2024,1376,2087,17,21.05,21.05
VV7ZJ9,01/01/2024 19:12,01/01/2024,390,1238,11,26.25,1266.49
A364DC,01/01/2024 19:12,01/01/2024,731,2258,17,12.45,3742.13
4GL51N,01/01/2024 19:10,01/01/2024,1429,1386,23,21.53,1254.27
QOIN2N,01/01/2024 19:09,01/01/2024,884,509,15,16.36,2206.86
AMOI42,01/01/2024 18:59,01/01/2024,1720,2186,10,36.76,3099.06
7I0YI8,01/01/2024 18:58,01/01/2024,726,1627,18,96.05,26344.23
M2JWZC,01/01/2024 18:53,01/01/2024,1551,1052,20,41.83,2748.6
S3GXDK,01/01/2024 18:52,01/01/2024,1955,2083,22,8.96,2859.06
VVQIQL,01/01/2024 18:49,01/01/2024,843,1403,11,55.02,55.02
CS44PH,01/01/2024 18:49,01/01/2024,228,1702,16,6.18,33022.4
HPGIVE,01/01/2024 18:49,01/01/2024,382,1289,21,258.9,258.9
KVDIOP,01/01/2024 18:44,01/01/2024,90,763,11,141.15,7914.43
K6ZIJ9,01/01/2024 18:41,01/01/2024,1050,1311,23,20.23,1642.36
IDU8MW,01/01/2024 18:32,01/01/2024,1121,88,19,7.72,7.72
ODV28E,01/01/2024 18:31,01/01/2024,343,1493,23,18.23,2678.81
4LNYA1,01/01/2024 18:29,01/01/2024,1609,871,23,17.67,349.99
2OIIXA,01/01/2024 18:24,01/01/2024,560,784,10,13.52,4342.73
PDNW99,01/01/2024 18:19,01/01/2024,116,1349,15,24.97,24.97
OOHL7N,01/01/2024 18:18,01/01/2024,219,190,17,5.88,1418.07
VBFRZ4,01/01/2024 18:18,01/01/2024,1742,1508,19,2.34,2307.31
T7F29V,01/01/2024 18:16,01/01/2024,250,1578,22,41.14,1502.97
RG5243,01/01/2024 18:13,01/01/2024,314,1143,18,4.32,1679.5
OW84Z7,01/01/2024 18:11,01/01/2024,205,280,18,24.67,1725.25
YFBANF,01/01/2024 18:10,01/01/2024,366,102,19,12.37,12.37
QN1F0K,01/01/2024 18:09,01/01/2024,716,1584,10,10.01,4965.74
1GWRQ7,01/01/2024 18:08,01/01/2024,1571,1589,23,10.28,4351.64
IS256A,01/01/2024 18:08,01/01/2024,1483,472,20,6.92,3635.81
EDGNYI,01/01/2024 18:05,01/01/2024,45,2066,11,82.36,82.36
ARMUHC,01/01/2024 18:04,01/01/2024,1061,1607,21,17.65,4917.79
NXTYPZ,01/01/2024 18:03,01/01/2024,1418,1416,17,20.17,3550.11
IUE0PF,01/01/2024 18:01,01/01/2024,393,1693,15,34.65,1108.23
0NOE4L,01/01/2024 18:01,01/01/2024,1250,1949,19,40.67,40.67
RZA2CN,01/01/2024 18:01,01/01/2024,133,811,13,82.33,92.36
4SJU0E,01/01/2024 18:00,01/01/2024,1370,781,15,7.35,7.35
KORWVR,01/01/2024 17:58,01/01/2024,1005,2313,10,9.84,2556.35
B7N58F,01/01/2024 17:56,01/01/2024,587,1943,21,71.85,154.03
X6WPGK,01/01/2024 17:53,01/01/2024,1918,1622,11,27.32,3216.01
YP1H1F,01/01/2024 17:53,01/01/2024,1599,434,11,11.05,1457.99
2402S3,01/01/2024 17:53,01/01/2024,599,1390,15,27.65,27.65
KAYPHE,01/01/2024 17:53,01/01/2024,402,1079,12,1.69,24.22
B3Z351,01/01/2024 17:49,01/01/2024,1066,1528,10,33.51,1603.67
U87RN7,01/01/2024 17:48,01/01/2024,1358,1518,11,10.39,4168.87
2SJXL6,01/01/2024 17:43,01/01/2024,684,2373,21,6.59,3307.65
V78RZ5,01/01/2024 17:43,01/01/2024,357,1478,17,9.35,4584.98
X4TK1Q,01/01/2024 17:34,01/01/2024,1024,2411,22,21.66,1007.26
6URUV8,01/01/2024 17:27,01/01/2024,1478,1450,20,39.25,4923.68
R42C7R,01/01/2024 17:21,01/01/2024,1861,599,14,41.48,1509.89
LDMTVE,01/01/2024 17:21,01/01/2024,1665,1546,18,31.65,4060.47
Y3QJRD,01/01/2024 17:19,01/01/2024,950,1882,19,36.2,2747.06
H5MN6O,01/01/2024 17:13,01/01/2024,1981,1799,23,5.91,1319.37
M4UTHX,01/01/2024 17:12,01/01/2024,219,190,11,21.06,1412.19
PM6DYS,01/01/2024 17:03,01/01/2024,250,1578,11,10.08,1544.11
VOE6CS,01/01/2024 17:00,01/01/2024,1122,21,19,45.25,500.48
MOU98S,01/01/2024 16:56,01/01/2024,1874,1176,22,277.93,64389.67
RR5LLX,01/01/2024 16:52,01/01/2024,1212,1687,12,21.21,2787.05
LR9GGE,01/01/2024 16:50,01/01/2024,1035,707,18,4.89,4553
9QF5YW,01/01/2024 16:49,01/01/2024,667,2327,10,28.88,68.5
D9PJG5,01/01/2024 16:48,01/01/2024,205,280,22,3.23,1749.92
V6MBXT,01/01/2024 16:48,01/01/2024,822,390,22,13.42,1559.17
G8DCRA,01/01/2024 16:47,01/01/2024,1956,627,16,41.9,98694.86
6GTZPT,01/01/2024 16:47,01/01/2024,974,1542,17,30.68,4263.21
RJ7OZS,01/01/2024 16:45,01/01/2024,1404,699,10,41.55,3260.59
NVPPRG,01/01/2024 16:42,01/01/2024,1095,989,15,4.08,4.08
IZ0K1G,01/01/2024 16:40,01/01/2024,37,2222,16,41.83,1754.45
RD7HJC,01/01/2024 16:35,01/01/2024,1643,1307,23,19.41,2869.67
3KEMGY,01/01/2024 16:31,01/01/2024,1287,322,12,76.4,4136.25
HD6ZLF,01/01/2024 16:25,01/01/2024,801,680,21,8.97,8.97
ECIUQS,01/01/2024 16:24,01/01/2024,103,1041,18,18.33,1332.11
2W90J9,01/01/2024 16:21,01/01/2024,1143,2010,17,25.63,421.76
2RME3P,01/01/2024 16:19,01/01/2024,1144,785,22,35.24,2468.72
TPIG0S,01/01/2024 16:14,01/01/2024,854,628,22,4.36,4913.17
T934A3,01/01/2024 16:12,01/01/2024,76,1631,15,14.8,3352.69
01DDS1,01/01/2024 16:08,01/01/2024,1233,2276,22,18.9,2098.98
FH7B0A,01/01/2024 16:05,01/01/2024,1747,765,19,24.49,3730.64
ZE0GVD,01/01/2024 16:04,01/01/2024,214,369,10,35.24,3786.98
I58V9E,01/01/2024 16:03,01/01/2024,1346,2172,15,88.42,3368.71
6MJ0T2,01/01/2024 16:02,01/01/2024,367,1706,23,18.35,4751.82
Q9BWS0,01/01/2024 16:02,01/01/2024,887,790,23,59.78,17363.01
RA8F7E,01/01/2024 16:01,01/01/2024,825,22,21,31.49,2518.27
HFU35F,01/01/2024 16:00,01/01/2024,1693,1797,15,13.54,3208.5
6PONYC,01/01/2024 15:58,01/01/2024,1311,2266,15,39.21,1939.26
99ARAU,01/01/2024 15:55,01/01/2024,529,145,15,43.8,43.8
M8L5QI,01/01/2024 15:50,01/01/2024,1748,1798,13,32.94,71.38
QR0T58,01/01/2024 15:48,01/01/2024,1776,1823,21,11.08,4639
6XG6OI,01/01/2024 15:43,01/01/2024,559,2102,21,4.57,669.28
PSVX4D,01/01/2024 15:43,01/01/2024,1605,661,10,42.85,439.97
H37IVG,01/01/2024 15:39,01/01/2024,1577,853,18,38.87,11942.76
CUVEOJ,01/01/2024 15:38,01/01/2024,1924,1180,21,7.84,7.84
5RMOH1,01/01/2024 15:37,01/01/2024,17,623,17,24.42,2665.22
A5PWUO,01/01/2024 15:36,01/01/2024,1828,1189,17,14.81,14.81
1QT2L1,01/01/2024 15:34,01/01/2024,1792,896,22,17.38,3456.07
CBP89U,01/01/2024 15:31,01/01/2024,1631,440,22,5.34,1350.95
20AV93,01/01/2024 15:29,01/01/2024,68,2352,22,8.36,2688.14
9W3BHU,01/01/2024 15:28,01/01/2024,1894,202,14,18.57,4214.92
03TL16,01/01/2024 15:28,01/01/2024,1226,1032,19,53.11,558.27
R1VY7H,01/01/2024 15:25,01/01/2024,1950,683,17,62,88.97
PQFYAM,01/01/2024 15:24,01/01/2024,1785,1696,21,20.14,20.14
2G7LEE,01/01/2024 15:15,01/01/2024,559,2102,21,55.34,664.71
Y42FPG,01/01/2024 15:14,01/01/2024,1930,2088,19,9.47,1501.28
6SRG1Y,01/01/2024 15:11,01/01/2024,1889,606,19,35.37,2478.87
V81KK6,01/01/2024 15:08,01/01/2024,1078,364,15,15.61,968.02
AT6X3T,01/01/2024 15:04,01/01/2024,1560,2043,22,17.27,264.76
486FAO,01/01/2024 15:04,01/01/2024,1638,2416,14,17.39,4332.8
6TOX4V,01/01/2024 15:03,01/01/2024,1341,401,20,32.56,3802.24
5XLJTF,01/01/2024 15:00,01/01/2024,410,1182,23,3.79,1542.63
IT5CVT,01/01/2024 14:59,01/01/2024,1010,2008,11,4.2,4.2
7BVZQ8,01/01/2024 14:57,01/01/2024,1200,1597,17,28.03,28.03
NKTT7M,01/01/2024 14:57,01/01/2024,150,1961,17,10.64,3501.34
10UHRV,01/01/2024 14:55,01/01/2024,1330,2140,19,9.44,379.85
VPMX5L,01/01/2024 14:48,01/01/2024,424,2227,10,13.99,958.19
GAX68X,01/01/2024 14:45,01/01/2024,1978,654,15,12.49,5002.19
C9J5UG,01/01/2024 14:42,01/01/2024,1859,1723,23,29.94,2800.77
YXU5NS,01/01/2024 14:42,01/01/2024,240,388,16,17.54,2586.09
UTSDNJ,01/01/2024 14:40,01/01/2024,1996,96,21,15.02,4188.27
05LA29,01/01/2024 14:40,01/01/2024,419,1129,18,49.47,946.18
KPQCJZ,01/01/2024 14:39,01/01/2024,1321,146,11,3.84,2076.05
EZJ1JU,01/01/2024 14:34,01/01/2024,1215,1154,11,26.59,26.59
O2F9RG,01/01/2024 14:30,01/01/2024,1006,1994,23,3.47,4244.41
BIV5R7,01/01/2024 14:26,01/01/2024,435,1330,15,5.33,321.67
8HTR2C,01/01/2024 14:22,01/01/2024,1230,1058,19,116.36,116.36
DRKQ0W,01/01/2024 14:22,01/01/2024,614,2026,15,87.39,87.39
3IMVTM,01/01/2024 14:21,01/01/2024,1894,1280,13,170.76,170.76
DFEQT8,01/01/2024 14:16,01/01/2024,296,470,20,11.42,3492.21
4YV3P8,01/01/2024 14:14,01/01/2024,1661,1302,22,18.76,4513.53
FD6N5Z,01/01/2024 14:13,01/01/2024,1821,1630,15,8.02,8.02
GSVEBR,01/01/2024 14:12,01/01/2024,910,337,18,85.52,3300.4
8PZFVU,01/01/2024 14:10,01/01/2024,1428,1996,17,27.82,493.29
2Y0PUX,01/01/2024 14:10,01/01/2024,610,2085,19,7.17,7.17
GV8ZHY,01/01/2024 14:09,01/01/2024,1689,925,19,14.31,14.31
BSS6FP,01/01/2024 14:08,01/01/2024,1073,1115,20,14.71,4728.1
ZTOV7V,01/01/2024 14:06,01/01/2024,1414,2126,12,57.29,3949.01
VIBE4L,01/01/2024 14:03,01/01/2024,27,1347,11,192.83,192.83
VZMJ3M,01/01/2024 13:58,01/01/2024,1718,515,10,53.16,41282.41
W0DWWW,01/01/2024 13:57,01/01/2024,850,2342,21,5.07,4090.62
PW80I4,01/01/2024 13:56,01/01/2024,798,449,12,34.02,2319.04
F1NL9U,01/01/2024 13:53,01/01/2024,692,1323,17,37.75,1182.99
7D7Y4I,01/01/2024 13:48,01/01/2024,951,642,18,40.52,4397.25
5ZKDBI,01/01/2024 13:42,01/01/2024,1621,446,10,9.61,2179.18
BDZLR3,01/01/2024 13:41,01/01/2024,777,938,19,17.88,17.88
3727NZ,01/01/2024 13:39,01/01/2024,1657,1066,22,1.48,1008.86
6VQSBW,01/01/2024 13:38,01/01/2024,521,951,16,5.48,3813.8
SYTMXB,01/01/2024 13:29,01/01/2024,1146,1258,10,18.58,199.66
WUED5E,01/01/2024 13:29,01/01/2024,1865,389,19,82.85,161.08
12SRUG,01/01/2024 13:28,01/01/2024,1932,2111,14,47.1,4736.15
2BA3IC,01/01/2024 13:26,01/01/2024,825,22,16,18.46,2486.78
Y1B6KF,01/01/2024 13:24,01/01/2024,1470,2183,11,21.02,57.76
694V3K,01/01/2024 13:14,01/01/2024,1616,2198,22,35.51,1022.79
AS53V4,01/01/2024 13:10,01/01/2024,1766,1201,21,9.01,4495.05
K31J8O,01/01/2024 13:09,01/01/2024,329,1567,11,3.19,3.19
3IZ4CM,01/01/2024 13:06,01/01/2024,1159,1621,10,19.75,1919.25
TEZFOA,01/01/2024 13:05,01/01/2024,1918,1622,18,18.72,3188.69
532YYW,01/01/2024 13:05,01/01/2024,991,693,20,7.56,2413.7
2185AG,01/01/2024 13:04,01/01/2024,1834,766,23,35.85,4825.6
747569,01/01/2024 13:01,01/01/2024,1113,714,11,2.32,2287.26
CY6FD6,01/01/2024 12:54,01/01/2024,645,827,11,16.56,2594.09
5JESCJ,01/01/2024 12:48,01/01/2024,1561,119,17,5.03,57721.72
N303RV,01/01/2024 12:48,01/01/2024,112,1688,18,3.45,2034.55
43AVRL,01/01/2024 12:48,01/01/2024,550,1746,10,21.24,4426.19
UNBHZT,01/01/2024 12:46,01/01/2024,957,1608,22,4.71,3872.86
SZBCR5,01/01/2024 12:45,01/01/2024,1671,988,20,77.39,4096.23
WSBU7F,01/01/2024 12:44,01/01/2024,766,1654,12,9.51,2566.89
OWMIWG,01/01/2024 12:40,01/01/2024,1258,2372,16,14,499.97
1HO5JS,01/01/2024 12:36,01/01/2024,1075,1109,21,10.57,958.56
6BY9A6,01/01/2024 12:32,01/01/2024,1882,41,10,46.77,3462.28
YK704U,01/01/2024 12:31,01/01/2024,1871,1905,22,1.93,3096.65
XGH140,01/01/2024 12:31,01/01/2024,120,1286,19,33.25,3559.39
SN9YE6,01/01/2024 12:29,01/01/2024,1624,2208,15,21.1,1347.1
8SMIVM,01/01/2024 12:26,01/01/2024,220,2397,19,20.71,20.71
TXKKNJ,01/01/2024 12:20,01/01/2024,929,942,10,9.05,2960.97
DE03CC,01/01/2024 12:15,01/01/2024,476,54,23,88.49,1749.95
IV1EHO,01/01/2024 12:15,01/01/2024,60,1648,16,14.84,347.88
Q03XXU,01/01/2024 12:12,01/01/2024,1639,1465,23,26.54,62021.86
4OR3EH,01/01/2024 12:03,01/01/2024,333,1279,17,26.39,58.21
VJPROA,01/01/2024 12:00,01/01/2024,506,655,20,41.5,2227.12
J7TPR9,01/01/2024 11:57,01/01/2024,6,756,15,6.05,6.05
HRP81S,01/01/2024 11:56,01/01/2024,859,476,18,104.82,2169.11
OIM3VN,01/01/2024 11:50,01/01/2024,955,1252,18,47.05,2840.08
1MHQYQ,01/01/2024 11:48,01/01/2024,1898,2036,10,4.85,3616.23
WKVZQ7,01/01/2024 11:43,01/01/2024,616,481,14,39.21,86626.15
QWDIWW,01/01/2024 11:40,01/01/2024,1661,1302,17,47.08,4532.29
XC98P5,01/01/2024 11:33,01/01/2024,1166,863,17,6.38,656.34
9CUT00,01/01/2024 11:32,01/01/2024,1771,433,11,174.87,1511.49
PO41QY,01/01/2024 11:31,01/01/2024,1243,577,12,263.84,507.97
DKPXT1,01/01/2024 11:30,01/01/2024,547,1474,23,83.21,79557.43
VG9APQ,01/01/2024 11:24,01/01/2024,111,2221,19,24.29,37.73
VLMJ0I,01/01/2024 11:17,01/01/2024,1672,194,14,75.52,51979.79
76D1PC,01/01/2024 11:15,01/01/2024,1972,1559,10,14.32,1989.71
QZK44H,01/01/2024 11:13,01/01/2024,1092,1221,15,49.63,49.63
XJ49OI,01/01/2024 11:12,01/01/2024,1211,736,11,21.93,21.93
U7W82R,01/01/2024 11:09,01/01/2024,985,2044,18,228.82,2836.52
ACYEBR,01/01/2024 11:08,01/01/2024,1643,1307,21,5.22,2889.08
N1T983,01/01/2024 11:08,01/01/2024,216,1794,19,10.4,10.4
Y5OIL5,01/01/2024 11:07,01/01/2024,480,914,22,30.22,50467.26
JQEDLI,01/01/2024 11:06,01/01/2024,1135,1094,16,6.44,3512.05
OEFJOF,01/01/2024 11:06,01/01/2024,1154,179,16,34.1,2057.1
8HRRWJ,01/01/2024 11:04,01/01/2024,1937,864,12,5.79,42681
56RMRT,01/01/2024 10:59,01/01/2024,1324,1039,23,7.85,51187.89
IEG19J,01/01/2024 10:51,01/01/2024,142,1581,16,6.68,373.02
DA8BAA,01/01/2024 10:51,01/01/2024,1936,2033,20,48.1,3420.27
6IKPQV,01/01/2024 10:49,01/01/2024,1644,353,23,76.31,98038.93
IL13KT,01/01/2024 10:48,01/01/2024,679,1145,10,38.24,4021.78
FSV2VK,01/01/2024 10:47,01/01/2024,1941,38,21,67.69,4293.79
NPE7I8,01/01/2024 10:45,01/01/2024,1840,459,12,103.03,30129.82
K6LTXG,01/01/2024 10:44,01/01/2024,642,626,10,3.91,4732.48
T0016D,01/01/2024 10:41,01/01/2024,462,1093,22,15.3,4005.08
N7WMN3,01/01/2024 10:36,01/01/2024,898,718,16,34.74,3129.96
QT0TR1,01/01/2024 10:33,01/01/2024,140,1728,18,73.39,2258.97
SIUORT,01/01/2024 10:31,01/01/2024,1093,872,23,8.62,2275.19
86IR63,01/01/2024 10:29,01/01/2024,190,191,19,55.56,1593.13
RZ23IU,01/01/2024 10:28,01/01/2024,1122,21,10,28.35,455.23
V9RXUS,01/01/2024 10:25,01/01/2024,1251,1122,17,12.43,3117.57
C9JKPF,01/01/2024 10:24,01/01/2024,997,729,22,10.11,3002.16
QQXLTG,01/01/2024 10:24,01/01/2024,1670,1365,15,2.35,2992.57
EFWR0L,01/01/2024 10:23,01/01/2024,5,2285,22,75.4,1591.14
V5TB9X,01/01/2024 10:20,01/01/2024,788,2103,23,55.69,4029.83
RBI1DD,01/01/2024 10:20,01/01/2024,375,1769,15,27.11,27.11
VIVVA1,01/01/2024 10:19,01/01/2024,1230,2330,15,54.49,54.49
J2EVJH,01/01/2024 10:13,01/01/2024,655,1267,19,29.67,29.67
CGRFDX,01/01/2024 10:11,01/01/2024,149,347,21,12.27,3784.35
S3WYUF,01/01/2024 10:03,01/01/2024,512,10,19,16.31,665.13
4AG1QI,01/01/2024 10:02,01/01/2024,2,1594,23,29.32,56123.62
IC4Q35,01/01/2024 10:01,01/01/2024,853,1789,15,6.09,6.09
LW46GN,01/01/2024 10:00,01/01/2024,1641,856,20,10,56821.08
HAACTY,01/01/2024 09:59,01/01/2024,514,1472,23,13.61,1425.24
MLJRHD,01/01/2024 09:58,01/01/2024,978,2358,22,61.62,2437.67
LZ3QVF,01/01/2024 09:57,01/01/2024,1219,687,15,32.97,32.97
MJAR1P,01/01/2024 09:54,01/01/2024,1713,2406,10,69.54,2693.97
07JTRG,01/01/2024 09:54,01/01/2024,507,1320,12,11.2,3266.71
